绑架罪,bang'jia'zui
帮助诉讼罪,bang'zhu'su'song'zui
暴动罪,bao'dong'zui
包揽诉讼罪,bao'lan'su'song'zui
暴力重罪,bao'li'zhong'zui
报应说,bao'ying'shuo
被害人同意,bei'hai'ren'tong'yi
被害人宥恕,bei'hai'ren'you'shu
被害人罪过,bei'hai'ren'zui'guo
本来不法之罪,ben'lai'bu'fa'zhi'zui
避免残酷和异常的刑罚,bi'mian'can'ku'he'yi'chang'de'xing'fa
避免无理搜查和没收,bi'mian'wu'li'sou'cha'he'mo'shou
必要要素说,bi'yao'yao'su'shuo
不可抵抗的刺激说,bu'ke'di'kang'de'ci'ji'shuo
不可能性,bu'ke'neng'xing
不确定判决,bu'que'ding'pan'jue
不完全的自卫,bu'wan'quan'de'zi'wei
残酷和异常的刑罚,can'ku'he'yi'chang'de'xing'fa
撤出共犯,che'chu'gong'fan
撤出共谋,che'chu'gong'mou
惩罚说,cheng'fa'shuo
重返社会说,chong'fan'she'hui'shuo
重复定罪和刑罚的危险,chong'fu'ding'zui'he'xing'fa'de'wei'xian
醜行罪,chou'xing'zui
初始罪,chu'shi'zui
次要犯罪,ci'yao'fan'zui
单位组织体责任,dan'wei'zu'zhi'ti'ze'ren
道德卑鄙的犯罪,dao'de'bei'bi'de'fan'zui
道德错误行为理论,dao'de'cuo'wu'xing'wei'li'lun
盗用公款罪,dao'yong'gong'kuan'zui
抵抗非法逮捕,di'kang'fei'fa'dai'bu
抵抗合法逮捕的谋杀,di'kang'he'fa'dai'bu'de'mou'sha
斗殴罪,dou'ou'zui
堕胎罪,duo'tai'zui
恶意,e'yi
恶意毁损财物罪,e'yi'hui'sun'cai'wu'zui
遏制说,e'zhi'shuo
二级谋杀罪,er'ji'mou'sha'zui
二级主犯,er'ji'zhu'fan
法律的平等保护,fa'lv'de'ping'deng'bao'hu
法律原因,fa'lv'yuan'yin
犯意,fan'yi
犯罪法,fan'zui'fa
犯罪实体,fan'zui'shi'ti
犯罪要件,fan'zui'yao'jian
放弃教唆,fang'qi'jiao'suo
防止重复定罪和刑罚的危险,fang'zhi'chong'fu'ding'zui'he'xing'fa'de'wei'xian
防止自我归罪的特权,fang'zhi'zi'wo'gui'zui'de'te'quan
非法集合罪,fei'fa'ji'he'zui
非预谋性杀人罪,fei'yu'mou'xing'sha'ren'zui
非致命的武力,fei'zhi'ming'de'wu'li
非自愿的非预谋性杀人罪,fei'zi'yuan'de'fei'yu'mou'xing'sha'ren'zui
非自愿的醉酒,fei'zi'yuan'de'zui'jiu
非自愿行为,fei'zi'yuan'xing'wei
腐恶情感的谋杀,fu'e'qing'gan'de'mou'sha
复合故意,fu'he'gu'yi
附条件的故意,fu'tiao'jian'de'gu'yi
附条件免责,fu'tiao'jian'mian'ze
高级代理人规则,gao'ji'dai'li'ren'gui'ze
隔离说,ge'li'shuo
公共场合醉酒罪,gong'gong'chang'he'zui'jiu'zui
公共服务,gong'gong'fu'wu
共谋罪,gong'mou'zui
固定判决,gu'ding'pan'jue
规定不法之罪,gui'ding'bu'fa'zhi'zui
护卫财产,hu'wei'cai'chan
护卫他人,hu'wei'ta'ren
缓刑分类制,huan'xing'fen'lei'zhi
激愤,ji'fen
激情的非预谋性杀人罪,ji'qing'de'fei'yu'mou'xing'sha'ren'zui
假释委员会,jia'shi'wei'yuan'hui
假释许可证,jia'shi'xu'ke'zheng
