八荣八耻,ba'rong'ba'chi
包含着爱国主义,bao'han'zhe'ai'guo'zhu'yi
必须有规矩,bi'xu'you'gui'ju
表达人民利益和愿望,biao'da'ren'min'li'yi'he'yuan'wang
不愉快而逐渐丧失对社会,bu'yu'kuai'er'zhu'jian'sang'shi'dui'she'hui
大道理是为国,da'dao'li'shi'wei'guo
道德缺失,dao'de'que'shi
道德准则如同空气,dao'de'zhun'ze'ru'tong'kong'qi
邓小平理论,deng'xiao'ping'li'lun
第二,di'er
第一,di'yi
对国家,dui'guo'jia
对民族,dui'min'zu
对政府的信心,dui'zheng'fu'de'xin'xin
符合本国国情,fu'he'ben'guo'guo'qing
感染力,gan'ran'li
根据党的建设发展史,gen'ju'dang'de'jian'she'fa'zhan'shi
和谐运转,he'xie'yun'zhuan
环境污染一样,huan'jing'wu'ran'yi'yang
会让人感觉不舒服,hui'rang'ren'gan'jue'bu'shu'fu
集体主义,ji'ti'zhu'yi
坚持以马克思列宁主义,jian'chi'yi'ma'ke'si'lie'ning'zhu'yi
坚持以人为本,jian'chi'yi'ren'wei'ben
解放思想,jie'fang'si'xiang
进而导致更加严重的后果,jin'er'dao'zhi'geng'jia'yan'zhong'de'hou'guo
就如同空气污浊,jiu'ru'tong'kong'qi'wu'zhuo
具有里程碑意义,ju'you'li'cheng'bei'yi'yi
牢固树立胡锦涛总书记倡导的以,lao'gu'shu'li'hu'jin'tao'zong'shu'ji'chang'dao'de'yi
两个道理都应该讲,liang'ge'dao'li'dou'ying'gai'jiang
毛泽东思想,mao'ze'dong'si'xiang
努力提高思想政治教育的针对性,nu'li'ti'gao'si'xiang'zheng'zhi'jiao'yu'de'zhen'dui'xing
全面落实党的教育方针,quan'mian'luo'shi'dang'de'jiao'yu'fang'zhen
人们会因为生活得不舒适,ren'men'hui'yin'wei'sheng'huo'de'bu'shu'shi
人民群众的生活质量,ren'min'qun'zhong'de'sheng'huo'zhi'liang
软者为伦理道德,ruan'zhe'wei'lun'li'dao'de
三个代表,san'ge'dai'biao
社会主义的丰富内容,she'hui'zhu'yi'de'feng'fu'nei'rong
社会主义的思想要求,she'hui'zhu'yi'de'si'xiang'yao'qiu
社会主义教育紧密结合起来,she'hui'zhu'yi'jiao'yu'jin'mi'jie'he'qi'lai
社会主义荣辱观反映了爱国主义,she'hui'zhu'yi'rong'ru'guan'fan'ying'le'ai'guo'zhu'yi
深入贯彻党的十六大精神,shen'ru'guan'che'dang'de'shi'liu'da'jing'shen
实事求是,shi'shi'qiu'shi
实效性和吸引力,shi'xiao'xing'he'xi'yin'li
贴近生活,tie'jin'sheng'huo
贴近实际,tie'jin'shi'ji
贴近学生,tie'jin'xue'sheng
无处不在,wu'chu'bu'zai
无时不在,wu'shi'bu'zai
先说说大道理,xian'shuo'shuo'da'dao'li
小道理是做人,xiao'dao'li'shi'zuo'ren
需要全党全社会共同努力,xu'yao'quan'dang'quan'she'hui'gong'tong'nu'li
要通过教育和实践,yao'tong'guo'jiao'yu'he'shi'jian
要同开展爱国主义,yao'tong'kai'zhan'ai'guo'zhu'yi
要正常运转,yao'zheng'chang'yun'zhuan
以爱国主义教育为重点,yi'ai'guo'zhu'yi'jiao'yu'wei'zhong'dian
以大学生全面发展为目标,yi'da'xue'sheng'quan'mian'fa'zhan'wei'mu'biao
以党中央,yi'dang'zhong'yang
一个国家,yi'ge'guo'jia
一个社会,yi'ge'she'hui
意见,yi'jian
以理想信念教育为核心,yi'li'xiang'xin'nian'jiao'yu'wei'he'xin
以思想道德建设为基础,yi'si'xiang'dao'de'jian'she'wei'ji'chu
硬者为法律法规,ying'zhe'wei'fa'lv'fa'gui
有一个大道理,you'yi'ge'da'dao'li
有一个小道理,you'yi'ge'xiao'dao'li
与时俱进,yu'shi'ju'jin
在荣辱观的问题上,zai'rong'ru'guan'de'wen'ti'shang
在我们党和国家历史上是第一次,zai'wo'men'dang'he'guo'jia'li'shi'shang'shi'di'yi'ci
站在时代和历史潮流的前列,zhan'zai'shi'dai'he'li'shi'chao'liu'de'qian'lie
这种规矩分硬软两种,zhe'zhong'gui'ju'fen'ying'ruan'liang'zhong
指导思想是,zhi'dao'si'xiang'shi
重要思想为指导,zhong'yao'si'xiang'wei'zhi'dao
自信心,zi'xin'xin
作为阶级和民族的先锋队,zuo'wei'jie'ji'he'min'zu'de'xian'feng'dui
作为全面建设小康社会,zuo'wei'quan'mian'jian'she'xiao'kang'she'hui
作为推进现代化建设的基础工程,zuo'wei'tui'jin'xian'dai'hua'jian'she'de'ji'chu'gong'cheng
