爱如禅你入佛,ai'ru'chan'ni'ru'fo
八楞山,ba'leng'shan
八五四,ba'wu'si
白泡子,bai'pao'zi
班任课,ban'ren'ke
北大营,bei'da'ying
不当无,bu'dang'wu
城子河,cheng'zi'he
城子河区,cheng'zi'he'qu
带来极大的好处,dai'lai'ji'da'de'hao'chu
当壁镇,dang'bi'zhen
当青春期,dang'qing'chun'qi
到鸡西,dao'ji'xi
地不好,di'bu'hao
滴道,di'dao
滴道区,di'dao'qu
地上卫生局,di'shang'wei'sheng'ju
电工路,dian'gong'lu
电台路,dian'tai'lu
东海社区,dong'hai'she'qu
动植物园,dong'zhi'wu'yuan
恩哪呀,en'na'ya
二道河子,er'dao'he'zi
二人班,er'ren'ban
蜂蜜山,feng'mi'shan
福地洞天,fu'di'dong'tian
干活钱,gan'huo'qian
个洗衣机,ge'xi'yi'ji
给点机会,gei'dian'ji'hui
共同进化,gong'tong'jin'hua
共同进化的,gong'tong'jin'hua'de
狗懒得,gou'lan'de
姑娘结婚,gu'niang'jie'hun
观察图形,guan'cha'tu'xing
关业,guan'ye
广益城,guang'yi'cheng
还蒙你,hai'meng'ni
好了拜拜,hao'le'bai'bai
和鸡西,he'ji'xi
黑龙江鸡西,hei'long'jiang'ji'xi
黑龙江省鸡西市,hei'long'jiang'sheng'ji'xi'shi
黑台,hei'tai
恒山区,heng'shan'qu
红军路,hong'jun'lu
红星乡,hong'xing'xiang
虎林,hu'lin
虎林的,hu'lin'de
虎林了,hu'lin'le
虎林市,hu'lin'shi
会给人类,hui'gei'ren'lei
回鸡西,hui'ji'xi
活动套系,huo'dong'tao'xi
鸡东,ji'dong
鸡东县,ji'dong'xian
鸡冠区,ji'guan'qu
寂寞两个人,ji'mo'liang'ge'ren
鸡西,ji'xi
鸡西大学,ji'xi'da'xue
鸡西的,ji'xi'de
鸡西了,ji'xi'le
鸡西呢,ji'xi'ne
鸡西人,ji'xi'ren
鸡西市,ji'xi'shi
甲车由,jia'che'you
简称豫,jian'cheng'yu
接稿,jie'gao
就不用陪我,jiu'bu'yong'pei'wo
就脱完,jiu'tuo'wan
局一,ju'yi
局一中,ju'yi'zhong
看准信,kan'zhun'xin
课文从哪些方面,ke'wen'cong'na'xie'fang'mian
矿总院,kuang'zong'yuan
来虎林,lai'hu'lin
来鸡西,lai'ji'xi
来买货,lai'mai'huo
老大商,lao'da'shang
老山呼,lao'shan'hu
梨树区,li'shu'qu
立新矿,li'xin'kuang
连珠山,lian'zhu'shan
柳毛,liu'mao
柳毛乡,liu'mao'xiang
龙山国际,long'shan'guo'ji
麻山,ma'shan
麻山区,ma'shan'qu
麦德士,mai'de'shi
没聊就是,mei'liao'jiu'shi
没那待遇,mei'na'dai'yu
没搜索,mei'sou'suo
密山,mi'shan
密山的,mi'shan'de
密山葛海龙,mi'shan'ge'hai'long
密山了,mi'shan'le
密山市,mi'shan'shi
穆棱河,mu'ling'he
那两个城市,na'liang'ge'cheng'shi
南瓶晚钟,nan'ping'wan'zhong
南星街,nan'xing'jie
你们几个人喝酒,ni'men'ji'ge'ren'he'jiu
你又是不是,ni'you'shi'bu'shi
你在鸡西,ni'zai'ji'xi
裴德,pei'de
裴德镇,pei'de'zhen
偏香,pian'xiang
平岗,ping'gang
奇妙的克隆,qi'miao'de'ke'long
去虎林,qu'hu'lin
去鸡西,qu'ji'xi
去密山,qu'mi'shan
全文按照,quan'wen'an'zhao
山东省简称鲁,shan'dong'sheng'jian'cheng'lu
上鸡西,shang'ji'xi
伤心的站台,shang'xin'de'zhan'tai
烧的少,shao'de'shao
沈煤,shen'mei
谁聊那,shui'liao'na
四周都临海,si'zhou'dou'lin'hai
他说在那,ta'shuo'zai'na
太逼了,tai'bi'le
腾飞桥,teng'fei'qiao
托玉米,tuo'yu'mi
未入系统,wei'ru'xi'tong
我国各省市区中,wo'guo'ge'sheng'shi'qu'zhong
我我我问,wo'wo'wo'wen
我在鸡西,wo'zai'ji'xi
乌苏里江,wu'su'li'jiang
西郊乡,xi'jiao'xiang
祥光路,xiang'guang'lu
祥光越秀,xiang'guang'yue'xiu
小恒山,xiao'heng'shan
小九寨,xiao'jiu'zhai
新百客,xin'bai'ke
新大商,xin'da'shang
兴凯,xing'kai
兴凯湖,xing'kai'hu
休闲广场,xiu'xian'guang'chang
延长线上一点,yan'chang'xian'shang'yi'dian
沿一条,yan'yi'tiao
杨岗,yang'gang
一概快,yi'gai'kuai
以前本,yi'qian'ben
一日既往,yi'ri'ji'wang
英桥,ying'qiao
有怎样的关系,you'zen'yang'de'guan'xi
鱼和水的,yu'he'shui'de
园林路,yuan'lin'lu
园林小区,yuan'lin'xiao'qu
咋会骂你,za'hui'ma'ni
在大商,zai'da'shang
在虎林,zai'hu'lin
在鸡东,zai'ji'dong
在鸡西,zai'ji'xi
在密山,zai'mi'shan
咱就吃菜,zan'jiu'chi'cai
占民,zhan'min
珍宝岛,zhen'bao'dao
真逼,zhen'bi
正式打印机,zheng'shi'da'yin'ji
知一,zhi'yi
种地多,zhong'di'duo
种多少,zhong'duo'shao
紫竹铃,zi'zhu'ling
