啊安多哈尔,a'an'duo'ha'er
阿达尔,a'da'er
阿达尔的恩赐,a'da'er'de'en'ci
阿达尔勇士杜希恩,a'da'er'yong'shi'du'xi'en
阿古斯的使徒,a'gu'si'de'shi'tu
阿加多的腰带,a'jia'duo'de'yao'dai
阿卡玛,a'ka'ma
阿卡玛的保证,a'ka'ma'de'bao'zheng
阿卡玛的腰带,a'ka'ma'de'yao'dai
阿拉多石酿,a'la'duo'shi'niang
阿拉米拉嫩树,a'la'mi'la'nen'shu
阿拉希盆地,a'la'xi'pen'di
阿莱克斯塔萨的恩赐,a'lai'ke'si'ta'sa'de'en'ci
阿莱克丝塔萨生命的缚誓者,a'lai'ke'si'ta'sa'sheng'ming'de'fu'shi'zhe
阿历克斯巴罗夫,a'li'ke'si'ba'luo'fu
阿丽斯特库伯,a'li'si'te'ku'bo
阿鲁高之影,a'lu'gao'zhi'ying
阿玛丽亚凯尔瑟,a'ma'li'ya'kai'er'se
阿曼尼帝国壁垒,a'man'ni'di'guo'bi'lei
阿曼尼死亡面具,a'man'ni'si'wang'mian'ju
阿尼卡柏琳,a'ni'ka'bai'lin
阿诺德佛兰姆,a'nuo'de'fo'lan'mu
阿瑞萨沙鲁姆,a'rui'sa'sha'lu'mu
阿萨洛斯,a'sa'luo'si
阿斯卡提暗钢,a'si'ka'ti'an'gang
阿斯塔妮晓恩,a'si'ta'ni'xiao'en
阿托尔的依靠,a'tuo'er'de'yi'kao
阿托利斯哈斯洛,a'tuo'li'si'ha'si'luo
阿雅卡冬蹄,a'ya'ka'dong'ti
阿扎莫斯亡齿,a'zha'mo'si'wang'chi
爱德华,ai'de'hua
爱德华之手,ai'de'hua'zhi'shou
艾登达光庇,ai'deng'da'guang'bi
艾蒂尔月火,ai'di'er'yue'huo
艾柯诺魔石,ai'ke'nuo'mo'shi
艾拉尔,ai'la'er
艾莱仑,ai'lai'lun
艾雷默,ai'lei'mo
艾丽西亚赫尔,ai'li'xi'ya'he'er
艾露恩的恩赐泽普雷,ai'lu'en'de'en'ci'ze'pu'lei
艾露洛夜风,ai'lu'luo'ye'feng
艾伦德尔,ai'lun'de'er
艾米利亚达克汗德,ai'mi'li'ya'da'ke'han'de
埃默森赞泰兹,ai'mo'sen'zan'tai'zi
爱情药水,ai'qing'yao'shui
矮人手持火炮,ai'ren'shou'chi'huo'pao
艾瑞雷斯,ai'rui'lei'si
艾瑞斯哈文法,ai'rui'si'ha'wen'fa
艾萨多娜艾米尔,ai'sa'duo'na'ai'mi'er
艾斯卡达尔的右爪,ai'si'ka'da'er'de'you'zhao
埃索达,ai'suo'da
埃索达长者华尔达,ai'suo'da'zhang'zhe'hua'er'da
埃索达铸甲师娜吉斯蒂,ai'suo'da'zhu'jia'shi'na'ji'si'di
艾文泽拉,ai'wen'ze'la
埃辛诺斯战刃背叛者的右手刃,ai'xin'nuo'si'zhan'ren'bei'pan'zhe'de'you'shou'ren
