安全文明施工费,an'quan'wen'ming'shi'gong'fei
安装工程,an'zhuang'gong'cheng
白水泥,bai'shui'ni
白水泥浆,bai'shui'ni'jiang
变形缝,bian'xing'feng
丙纶防水卷材,bing'lun'fang'shui'juan'cai
超高,chao'gao
措施费,cuo'shi'fei
带形基础,dai'xing'ji'chu
道路工程,dao'lu'gong'cheng
地板砖,di'ban'zhuan
地砖,di'zhuan
电气工程,dian'qi'gong'cheng
电梯井壁墙,dian'ti'jing'bi'qiang
定额站,ding'e'zhan
短肢剪力墙,duan'zhi'jian'li'qiang
二级钢,er'ji'gang
筏板基础,fa'ban'ji'chu
防水卷材,fang'shui'juan'cai
非框架梁,fei'kuang'jia'liang
钢管栏杆,gang'guan'lan'gan
钢筋,gang'jin
钢爬梯,gang'pa'ti
构造柱,gou'zao'zhu
灌注桩,guan'zhu'zhuang
广联达,guang'lian'da
混凝土,hun'ning'tu
剪力墙,jian'li'qiang
剪力墙结构,jian'li'qiang'jie'gou
建筑工程,jian'zhu'gong'cheng
建筑面积,jian'zhu'mian'ji
聚氨酯防水涂料,ju'an'zhi'fang'shui'tu'liao
聚合物砂浆,ju'he'wu'sha'jiang
矩形柱,ju'xing'zhu
抗震等级,kang'zhen'deng'ji
框架结构,kuang'jia'jie'gou
框架梁,kuang'jia'liang
框架柱,kuang'jia'zhu
栏杆,lan'gan
里脚手架,li'jiao'shou'jia
沥青,li'qing
沥青防水砂浆,li'qing'fang'shui'sha'jiang
沥青卷材,li'qing'juan'cai
楼梯,lou'ti
马赛克,ma'sai'ke
满堂基础,man'tang'ji'chu
面砖,mian'zhuan
木地板,mu'di'ban
木楞子,mu'leng'zi
内墙内边线,nei'qiang'nei'bian'xian
平板,ping'ban
清单计价规范,qing'dan'ji'jia'gui'fan
三级钢,san'ji'gang
砂浆,sha'jiang
社保费,she'bao'fei
伸缩缝,shen'suo'feng
石膏线,shi'gao'xian
石灰,shi'hui
石灰膏,shi'hui'gao
市政工程,shi'zheng'gong'cheng
水利工程,shui'li'gong'cheng
水泥砂浆,shui'ni'sha'jiang
碎石混凝土,sui'shi'hun'ning'tu
踢脚线,ti'jiao'xian
天正建筑,tian'zheng'jian'zhu
调和漆,tiao'he'qi
条基,tiao'ji
铁件,tie'jian
外边线,wai'bian'xian
外脚手架,wai'jiao'shou'jia
外墙外边线,wai'qiang'wai'bian'xian
无梁板,wu'liang'ban
信息价,xin'xi'jia
腰线,yao'xian
一级钢,yi'ji'gang
有梁板,you'liang'ban
油漆,you'qi
造价师,zao'jia'shi
造价员,zao'jia'yuan
轴线,zhou'xian
柱帽,zhu'mao
砖混结构,zhuan'hun'jie'gou
装饰装修工程,zhuang'shi'zhuang'xiu'gong'cheng
综合脚手架,zong'he'jiao'shou'jia
