阿伦方差,a'lun'fang'cha
阿曼米黄,a'man'mi'huang
矮矮实实,ai'ai'shi'shi
埃弗森,ai'fu'sen
矮化栽培,ai'hua'zai'pei
矮化砧,ai'hua'zhen
矮化紫薇,ai'hua'zi'wei
埃及米黄,ai'ji'mi'huang
矮牵牛,ai'qian'niu
爱情走私,ai'qing'zou'si
矮紫薇,ai'zi'wei
安保市场,an'bao'shi'chang
暗藏灯带,an'cang'deng'dai
暗插销,an'cha'xiao
暗撑,an'cheng
暗灯,an'deng
暗电平,an'dian'ping
安防行业,an'fang'hang'ye
暗敷,an'fu
暗杆式闸阀,an'gan'shi'zha'fa
按工作手段,an'gong'zuo'shou'duan
按甲方,an'jia'fang
暗间,an'jian
案卷封面,an'juan'feng'mian
案卷目录,an'juan'mu'lu
案卷题名,an'juan'ti'ming
暗梁,an'liang
安娜米黄,an'na'mi'huang
岸墙,an'qiang
暗渠,an'qu
安全出口灯,an'quan'chu'kou'deng
安全出水量,an'quan'chu'shui'liang
安全带,an'quan'dai
安全岛,an'quan'dao
安全阀,an'quan'fa
安全防范设施,an'quan'fang'fan'she'shi
安全接地,an'quan'jie'di
安全帽,an'quan'mao
安全生产,an'quan'sheng'chan
安全生产管理,an'quan'sheng'chan'guan'li
安全梯,an'quan'ti
安全条件论证,an'quan'tiao'jian'lun'zheng
安全通信,an'quan'tong'xin
安全行车,an'quan'xing'che
安全预评价,an'quan'yu'ping'jia
安全执法检查,an'quan'zhi'fa'jian'cha
安全指令,an'quan'zhi'ling
暗设,an'she
铵态氮肥,an'tai'dan'fei
安溪红,an'xi'hong
岸线,an'xian
按需分配,an'xu'fen'pei
暗影,an'ying
暗柱,an'zhu
安装容量,an'zhuang'rong'liang
凹缝,ao'feng
岙山,ao'shan
鳌山卫,ao'shan'wei
岙山卫,ao'shan'wei
鳌山卫镇,ao'shan'wei'zhen
岙山卫镇,ao'shan'wei'zhen
奥陶纪,ao'tao'ji
奥陶系,ao'tao'xi
凹陷,ao'xian
奥运战略,ao'yun'zhan'lue
拔出力,ba'chu'li
坝袋,ba'dai
耙地,ba'di
坝地,ba'di
坝顶高程,ba'ding'gao'cheng
坝顶路面,ba'ding'lu'mian
巴东站,ba'dong'zhan
巴东组,ba'dong'zu
八纲,ba'gang
八纲辨证,ba'gang'bian'zheng
八会穴,ba'hui'xue
坝基,ba'ji
坝脚,ba'jiao
八角锤,ba'jiao'chui
八角枫科,ba'jiao'feng'ke
拔节期,ba'jie'qi
扒梁,ba'liang
巴拿马黑,ba'na'ma'hei
坝坡,ba'po
拔气罩,ba'qi'zhao
拔塞器,ba'sai'qi
坝体,ba'ti
罢网,ba'wang
霸王衡器,ba'wang'heng'qi
霸王棕,ba'wang'zong
坝系,ba'xi
巴西黑,ba'xi'hei
巴西红,ba'xi'hong
巴西紫水晶,ba'xi'zi'shui'jing
