啊擦擦,a'ca'ca
啊来啊,a'lai'a
阿里俩,a'li'lia
啊楼,a'lou
阿么了,a'me'le
阿门,a'men
阿门办,a'men'ban
阿门办俩,a'men'ban'lia
阿门的,a'men'de
阿门个,a'men'ge
阿门哈了,a'men'ha'le
阿门就,a'men'jiu
阿门了,a'men'le
阿门了啊,a'men'le'a
阿门俩,a'men'lia
阿门聊,a'men'liao
阿门说,a'men'shuo
阿门着,a'men'zhe
啊时候,a'shi'hou
啊一天,a'yi'tian
啊炸,a'zha
阿扎俩,a'zha'lia
安防器材,an'fang'qi'cai
八大作坊,ba'da'zuo'fang
把饭吃上,ba'fan'chi'shang
把我不理,ba'wo'bu'li
把药吃上,ba'yao'chi'shang
八一东路,ba'yi'dong'lu
八一路三店,ba'yi'lu'san'dian
八一中路,ba'yi'zhong'lu
巴音路,ba'yin'lu
佰爱,bai'ai
班达,ban'da
邦登路,bang'deng'lu
北山市场,bei'shan'shi'chang
北小街,bei'xiao'jie
本页小计,ben'ye'xiao'ji
闭斋,bi'zhai
边挖,bian'wa
别生气撒,bie'sheng'qi'sa
别忘掉,bie'wang'diao
博纳广场,bo'na'guang'chang
不吃给,bu'chi'gei
不出给,bu'chu'gei
部分资产,bu'fen'zi'chan
不含粮油,bu'han'liang'you
不含煤炭,bu'han'mei'tan
不看给,bu'kan'gei
布朗尼亚,bu'lang'ni'ya
不去给,bu'qu'gei
不睡哇,bu'shui'wa
不需要身份证,bu'xu'yao'shen'fen'zheng
不在西宁,bu'zai'xi'ning
才旦,cai'dan
采矿技术,cai'kuang'ji'shu
才让,cai'rang
才让吉,cai'rang'ji
曹家堡,cao'jia'bao
曹家寨,cao'jia'zhai
查不上,cha'bu'shang
察尔汗,cha'er'han
察汗河,cha'han'he
茶卡,cha'ka
柴达木,chai'da'mu
柴达木路,chai'da'mu'lu
长宁镇,chang'ning'zhen
昌运世纪村,chang'yun'shi'ji'cun
陈细玉,chen'xi'yu
城北区,cheng'bei'qu
城东店,cheng'dong'dian
城东区,cheng'dong'qu
称多,cheng'duo
成哈,cheng'ha
程怀清,cheng'huai'qing
城南新区,cheng'nan'xin'qu
城西区,cheng'xi'qu
城中区,cheng'zhong'qu
吃不住,chi'bu'zhu
吃不住了,chi'bu'zhu'le
吃给,chi'gei
吃上啊,chi'shang'a
吃上点,chi'shang'dian
吃上个,chi'shang'ge
吃上了没,chi'shang'le'mei
出来俩,chu'lai'lia
川垣,chuan'yuan
创城,chuang'cheng
从西宁,cong'xi'ning
措措,cuo'cuo
措毛,cuo'mao
大百,da'bai
大柴旦,da'chai'dan
打给了,da'gei'le
大连海鲜,da'lian'hai'xian
大美青海,da'mei'qing'hai
大青海,da'qing'hai
大食巷,da'shi'xiang
大十字,da'shi'zi
打死俩,da'si'lia
大通,da'tong
大通的,da'tong'de
大同街,da'tong'jie
大通了,da'tong'le
大通县,da'tong'xian
大众街,da'zhong'jie
代购代销,dai'gou'dai'xiao
呆皮,dai'pi
到青海,dao'qing'hai
倒淌河,dao'tang'he
