安集海河组,an'ji'hai'he'zu
安全快速钻井,an'quan'kuai'su'zuan'jing
铵盐,an'yan
八道湾组,ba'dao'wan'zu
白垩系,bai'e'xi
白碱滩组,bai'jian'tan'zu
百口泉,bai'kou'quan
百口泉油田,bai'kou'quan'you'tian
百重井区,bai'zhong'jing'qu
坂土,ban'tu
包被抑制作用,bao'bei'yi'zhi'zuo'yong
保持井壁的稳定性,bao'chi'jing'bi'de'wen'ding'xing
保护油气层,bao'hu'you'qi'ceng
北三台,bei'san'tai
表层,biao'ceng
剥落,bo'luo
彩南油田,cai'nan'you'tian
长裸眼钻井,chang'luo'yan'zuan'jing
车排子油田,che'pai'zi'you'tian
承压能力低,cheng'ya'neng'li'di
充填粒子,chong'tian'li'zi
稠油井,chou'you'jing
稠油开发区,chou'you'kai'fa'qu
储层保护,chu'ceng'bao'hu
储层保护技术,chu'ceng'bao'hu'ji'shu
储层孔隙度,chu'ceng'kong'xi'du
储层物性特征,chu'ceng'wu'xing'te'zheng
储层压力,chu'ceng'ya'li
储层岩性,chu'ceng'yan'xing
储集空间,chu'ji'kong'jian
初切,chu'qie
纯碱,chun'jian
窜槽,cuan'cao
地层破裂压力,di'ceng'po'lie'ya'li
地层压力,di'ceng'ya'li
地层压力难以预测,di'ceng'ya'li'nan'yi'yu'ce
地层造浆,di'ceng'zao'jiang
低固相,di'gu'xiang
低孔隙度,di'kong'xi'du
第三系,di'san'xi
第四系,di'si'xi
低压易漏,di'ya'yi'lou
地应力,di'ying'li
电测一次成功率,dian'ce'yi'ci'cheng'gong'lv
动切力,dong'qie'li
动塑比,dong'su'bi
堵漏材料,du'lou'cai'liao
堵漏剂,du'lou'ji
二开,er'kai
防漏堵漏,fang'lou'du'lou
防漏堵漏技术措施,fang'lou'du'lou'ji'shu'cuo'shi
风城,feng'cheng
封堵防塌能力,feng'du'fang'ta'neng'li
封堵能力,feng'du'neng'li
风化壳,feng'hua'qiao
腹部地区,fu'bu'di'qu
复杂地层,fu'za'di'ceng
复杂情况,fu'za'qing'kuang
复杂时率,fu'za'shi'lv
复杂与事故,fu'za'yu'shi'gu
改善泥饼质量,gai'shan'ni'bing'zhi'liang
该体系,gai'ti'xi
高坂含钻井液,gao'ban'han'zuan'jing'ye
高岭石,gao'ling'shi
高密度钻井液,gao'mi'du'zuan'jing'ye
高温高压,gao'wen'gao'ya
膏质泥岩,gao'zhi'ni'yan
膏质泥页岩,gao'zhi'ni'ye'yan
工厂轻浆,gong'chang'qing'jiang
古近系,gu'jin'xi
固相含量,gu'xiang'han'liang
护胶能力,hu'jiao'neng'li
呼图壁气田,hu'tu'bi'qi'tian
磺化沥青,huang'hua'li'qing
活化重晶石,huo'hua'zhong'jing'shi
火烧山油田,huo'shao'shan'you'tian
及发展对策研究,ji'fa'zhan'dui'ce'yan'jiu
技术保障,ji'shu'bao'zhang
技术措施,ji'shu'cuo'shi
机械钻速,ji'xie'zuan'su
机械钻速慢,ji'xie'zuan'su'man
钾钙基聚磺,jia'gai'ji'ju'huang
架桥粒子,jia'qiao'li'zi
甲酸钠,jia'suan'na
钾盐聚合物,jia'yan'ju'he'wu
钾盐聚磺,jia'yan'ju'huang
碱敏,jian'min
减少地层损害,jian'shao'di'ceng'sun'hai
减少井下坍塌,jian'shao'jing'xia'tan'ta
降低排量,jiang'di'pai'liang
